Kode Limbah,Bentuk,Karakter Limbah,Sumber,Bahaya,Kemasan
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A323-3,Padat,T,Spesifik Umum,1,Tanpa Kemasan
A345-2,Padat,T,Spesifik Umum,1,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A323-2,Padat,T,Spesifik Umum,1,Jumbo Bag
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A345-2,Padat,T,Spesifik Umum,1,Box Besi
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A345-2,Padat,T,Spesifik Umum,1,Tanpa Kemasan
A345-1,Cair,T,Spesifik Umum,1,Drum Logam
A310-1,Padat,C,Spesifik Umum,1,Drum Plastik
B323-1,Padat,T,Spesifik Umum,2,Box Besi
A345-1,Cair,T,Spesifik Umum,1,IBC Tank
A345-1,Cair,T,Spesifik Umum,1,IBC Tank
A345-1,Cair,T,Spesifik Umum,1,Drum Logam
A323-3,Padat,T,Spesifik Umum,1,"Karung Kain, plastik, kertas"
B104d,Padat,T,Tidak Spesifik,2,Jumbo Bag
B110d,Padat,T,Tidak Spesifik,2,Jumbo Bag
A345-1,Cair,T,Spesifik Umum,1,IBC Tank
B105d,Cair,T,Tidak Spesifik,2,Drum Logam
B409,Padat,T,Spesifik Khusus,2,Tangki
B409,Padat,T,Spesifik Khusus,2,Tangki
A108d,Padat,T,Tidak Spesifik,1,Tangki
B401,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B409,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B323-1,Padat,T,Spesifik Umum,2,Tangki
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B306-4,Padat,T,Spesifik Umum,2,Drum Logam
A108d,Padat,T,Tidak Spesifik,1,Jumbo Bag
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
A304-3,Cair,T,Spesifik Umum,1,Box Besi
A341-1,Cair,T,Spesifik Umum,1,Jumbo Bag
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
A306-3,Cair,T,Spesifik Umum,1,Jumbo Bag
A341-2,Padat,T,Spesifik Umum,1,Tanpa Kemasan
B107d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A318-6,Cair,T,Spesifik Umum,1,Drum Logam
B105d,Cair,T,Tidak Spesifik,2,Tanpa Kemasan
B107d,Padat,T,Tidak Spesifik,2,Drum Logam
A108d,Padat,T,Tidak Spesifik,1,Tanpa Kemasan
B409,Padat,T,Spesifik Khusus,2,Jumbo Bag
A108d,Padat,T,Tidak Spesifik,1,Tanpa Kemasan
A108d,Padat,T,Tidak Spesifik,1,Drum Plastik
B306-4,Padat,T,Spesifik Umum,2,Jumbo Bag
B411,Padat,T,Spesifik Khusus,2,"Karung Kain, plastik, kertas"
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B409,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B324-3,Padat,T,Spesifik Umum,2,Jumbo Bag
A324-3,Cair,T,Spesifik Umum,1,Tangki
A341-2,Padat,T,Spesifik Umum,1,IBC Tank
A108d,Padat,T,Tidak Spesifik,1,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B322-3,Padat,T,Spesifik Umum,2,Jumbo Bag
B409,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B312-5,Padat,T,Spesifik Umum,2,Tanpa Kemasan
B107d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
B110d,Padat,T,Tidak Spesifik,2,IBC Tank
A341-1,Cair,T,Spesifik Umum,1,Drum Logam
A341-1,Cair,T,Spesifik Umum,1,Tanpa Kemasan
B104d,Padat,T,Tidak Spesifik,2,Drum Logam
B409,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B322-3,Padat,T,Spesifik Umum,2,Tanpa Kemasan
B107d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B409,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B327-1,Padat,T,Spesifik Umum,2,Box Besi
B327-2,Padat,T,Spesifik Umum,2,Box Besi
A102d,Padat,T,Tidak Spesifik,1,Box Besi
A327-3,Cair,T,Spesifik Umum,1,Box Besi
B327-1,Padat,T,Spesifik Umum,2,Box Besi
A102d,Padat,T,Tidak Spesifik,1,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B110d,Padat,I,Tidak Spesifik,2,Jumbo Bag
B110d,Cair,I,Tidak Spesifik,2,Jumbo Bag
B107d,Cair,I,Tidak Spesifik,2,Drum Logam
A337-1,Cair,X,Spesifik Umum,1,Kemasan Karton atau plastik
B406,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B406,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B406,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B406,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B406,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B406,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B406,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B406,Padat,T,Spesifik Khusus,2,Box Besi
B413,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
A324-3,Cair,C,Spesifik Umum,1,Tangki
A324-3,Cair,C,Spesifik Umum,1,Tangki
B309-3,Padat,T,Spesifik Umum,2,Jumbo Bag
B402,Padat,T,Spesifik Khusus,2,Jumbo Bag
B110d,Padat,T,Tidak Spesifik,2,Jumbo Bag
A345-1,Cair,T,Spesifik Umum,1,IBC Tank
A345-1,Cair,T,Spesifik Umum,1,Jumbo Bag
B309-3,Padat,T,Spesifik Umum,2,Wheel Bin
B323-2,Cair,T,Spesifik Umum,2,Drum Logam
B409,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B105d,Cair,T,Tidak Spesifik,2,Tangki
B110d,Padat,T,Tidak Spesifik,2,Drum Logam
B108d,Cair,T,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Drum Logam
A102d,Padat,C,Tidak Spesifik,1,Tanpa Kemasan
A108d,Padat,T,Tidak Spesifik,1,Drum Logam
B105d,Cair,T,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A306-1,Padat,I,Spesifik Umum,1,Kemasan Karton atau plastik
B409,Padat,T,Spesifik Khusus,2,Tangki
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B409,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B324-3,Padat,T,Spesifik Umum,2,Tanpa Kemasan
B409,Padat,T,Spesifik Khusus,2,Tangki
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
B110d,Padat,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,T,Tidak Spesifik,2,Drum Logam
A107d,Cair,I,Tidak Spesifik,1,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A102d,Padat,C,Tidak Spesifik,1,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
A102d,Padat,C,Tidak Spesifik,1,Tanpa Kemasan
B110d,Padat,I,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A102d,Padat,C,Tidak Spesifik,1,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A107d,Cair,I,Tidak Spesifik,1,Drum Logam
A102d,Padat,C,Tidak Spesifik,1,Drum Logam
B110d,Padat,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
A102d,Padat,C,Tidak Spesifik,1,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
B110d,Padat,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A323-2,Padat,T,Spesifik Umum,1,Drum Logam
B110d,Padat,T,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B104d,Padat,T,Tidak Spesifik,2,Drum Logam
A338-1,Cair,T,Spesifik Umum,1,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Tangki
B104d,Padat,T,Tidak Spesifik,2,Drum Logam
A332-1,Cair,T,Spesifik Umum,1,Drum Logam
B327-2,Padat,T,Spesifik Umum,2,"Karung Kain, plastik, kertas"
B105d,Cair,I,Tidak Spesifik,2,Tangki
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B105d,Cair,T,Tidak Spesifik,2,Kemasan Karton atau plastik
A345-2,Padat,T,Spesifik Umum,1,Tanpa Kemasan
A108d,Padat,T,Tidak Spesifik,1,Tanpa Kemasan
B110d,Padat,I,Tidak Spesifik,2,Tanpa Kemasan
B309-4,Cair,T,Spesifik Umum,2,Tanpa Kemasan
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B110d,Padat,I,Tidak Spesifik,2,Tanpa Kemasan
B110d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,IBC Tank
B105d,Cair,I,Tidak Spesifik,2,Kemasan Karton atau plastik
B110d,Padat,I,Tidak Spesifik,2,Tanpa Kemasan
B110d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B110d,Padat,I,Tidak Spesifik,2,Jumbo Bag
B104d,Padat,T,Tidak Spesifik,2,Jumbo Bag
B110d,Padat,I,Tidak Spesifik,2,Jumbo Bag
B110d,Padat,I,Tidak Spesifik,2,Jumbo Bag
B110d,Padat,I,Tidak Spesifik,2,Jumbo Bag
B105d,Cair,I,Tidak Spesifik,2,Tangki
B105d,Cair,I,Tidak Spesifik,2,Tangki
B105d,Cair,I,Tidak Spesifik,2,Tangki
B105d,Cair,I,Tidak Spesifik,2,Tangki
B105d,Cair,I,Tidak Spesifik,2,IBC Tank
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Padat,I,Tidak Spesifik,2,Drum Logam
B105d,Padat,I,Tidak Spesifik,2,IBC Tank
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Tangki
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A108d,Padat,T,Tidak Spesifik,1,Jumbo Bag
B324-3,Padat,T,Spesifik Umum,2,Jumbo Bag
B317-2,Padat,T,Spesifik Umum,2,Jumbo Bag
B325-1,Padat,T,Spesifik Umum,2,Jumbo Bag
B110d,Padat,T,Tidak Spesifik,2,Jumbo Bag
B324-2,Padat,T,Spesifik Umum,2,Jumbo Bag
B343-1,Padat,T,Spesifik Umum,2,Drum Logam
A345-2,Padat,T,Spesifik Umum,1,Box Besi
A345-2,Padat,T,Spesifik Umum,1,Jumbo Bag
A323-3,Padat,T,Spesifik Umum,1,Box Besi
B402,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B402,Padat,T,Spesifik Khusus,2,Box Besi
A345-1,Cair,T,Spesifik Umum,1,Drum Logam
A345-1,Cair,T,Spesifik Umum,1,Drum Logam
A345-2,Padat,T,Spesifik Umum,1,Box Besi
B309-1,Padat,T,Spesifik Umum,2,Box Besi
B309-1,Padat,T,Spesifik Umum,2,Box Besi
B105d,Cair,T,Tidak Spesifik,2,Drum Logam
B309-1,Padat,T,Spesifik Umum,2,Box Besi
B313-2,Padat,T,Spesifik Umum,2,Box Besi
B105d,Cair,T,Tidak Spesifik,2,Drum Logam
A345-1,Cair,T,Spesifik Umum,1,Drum Logam
A107d,Cair,T,Tidak Spesifik,1,Drum Logam
B313-2,Padat,T,Spesifik Umum,2,Box Besi
B313-2,Padat,T,Spesifik Umum,2,Jumbo Bag
B309-1,Padat,T,Spesifik Umum,2,Jumbo Bag
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A107d,Cair,I,Tidak Spesifik,1,Drum Logam
A107d,Cair,I,Tidak Spesifik,1,Drum Logam
A345-2,Padat,T,Spesifik Umum,1,Jumbo Bag
B410,Padat,T,Spesifik Khusus,2,"Karung Kain, plastik, kertas"
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B343-1,Padat,T,Spesifik Umum,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Box Besi
B104d,Padat,T,Tidak Spesifik,2,Drum Plastik
B413,Padat,T,Spesifik Khusus,2,R.O Container
B108d,Cair,T,Tidak Spesifik,2,R.O Container
B334-1,Padat,T,Spesifik Umum,2,R.O Container
B334-3,Padat,T,Spesifik Umum,2,R.O Container
B108d,Cair,T,Tidak Spesifik,2,R.O Container
A323-3,Padat,T,Spesifik Umum,1,R.O Container
A323-3,Padat,T,Spesifik Umum,1,Tanpa Kemasan
B323-1,Padat,T,Spesifik Umum,2,Tanpa Kemasan
B322-3,Padat,T,Spesifik Umum,2,Drum Logam
B343-2,Padat,T,Spesifik Umum,2,Jumbo Bag
B321-4,Padat,T,Spesifik Umum,2,Kemasan Karton atau plastik
B107d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
B108d,Cair,T,Tidak Spesifik,2,R.O Container
A325-1,Cair,T,Spesifik Umum,1,Drum Plastik
B108d,Cair,T,Tidak Spesifik,2,R.O Container
B104d,Padat,T,Tidak Spesifik,2,R.O Container
A352-2,Cair,T,Spesifik Umum,1,Tanpa Kemasan
B105d,Cair,T,Tidak Spesifik,2,Tanpa Kemasan
A323-3,Padat,T,Spesifik Umum,1,Tanpa Kemasan
B104d,Padat,T,Tidak Spesifik,2,Jumbo Bag
B334-1,Padat,T,Spesifik Umum,2,IBC Tank
B322-3,Padat,T,Spesifik Umum,2,Drum Logam
A338-1,Cair,I,Spesifik Umum,1,Kemasan Karton atau plastik
B106d,Padat,T,Tidak Spesifik,2,Tangki
B108d,Cair,T,Tidak Spesifik,2,R.O Container
A108d,Padat,T,Tidak Spesifik,1,Drum Logam
B107d,Padat,T,Tidak Spesifik,2,Drum Logam
A102d,Padat,T,Tidak Spesifik,1,Drum Logam
B336-2,Padat,T,Spesifik Umum,2,Drum Logam
B336-2,Padat,T,Spesifik Umum,2,Jumbo Bag
A338-1,Cair,T,Spesifik Umum,1,Jerycan
B110d,Padat,T,Tidak Spesifik,2,Wheel Bin
A107d,Cair,T,Tidak Spesifik,1,Jerycan
A336-1,Padat,T,Spesifik Umum,1,Wheel Bin
B323-2,Cair,T,Spesifik Umum,2,Jumbo Bag
A108d,Padat,T,Tidak Spesifik,1,Tanpa Kemasan
A325-2,Cair,T,Spesifik Umum,1,Box Besi
B108d,Cair,T,Tidak Spesifik,2,R.O Container
A109d,Cair,T,Tidak Spesifik,1,Drum Logam
B343-2,Padat,T,Spesifik Umum,2,R.O Container
B108d,Cair,T,Tidak Spesifik,2,Jumbo Bag
A108d,Padat,T,Tidak Spesifik,1,Tanpa Kemasan
B107d,Padat,T,Tidak Spesifik,2,Drum Logam
A325-1,Cair,T,Spesifik Umum,1,Drum Logam
B108d,Cair,T,Tidak Spesifik,2,Jumbo Bag
A108d,Padat,T,Tidak Spesifik,1,Jumbo Bag
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A323-2,Padat,T,Spesifik Umum,1,Jumbo Bag
A108d,Padat,T,Tidak Spesifik,1,Tanpa Kemasan
B109d,Padat,T,Tidak Spesifik,2,Drum kayu
B106d,Padat,T,Tidak Spesifik,2,Jumbo Bag
A336-1,Padat,T,Spesifik Umum,1,Jumbo Bag
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A338-1,Cair,C,Spesifik Umum,1,Drum Plastik
A338-1,Cair,I,Spesifik Umum,1,Drum Logam
A108d,Padat,T,Tidak Spesifik,1,Jumbo Bag
A336-1,Padat,T,Spesifik Umum,1,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A108d,Padat,T,Tidak Spesifik,1,Jumbo Bag
B105d,Cair,T,Tidak Spesifik,2,Jumbo Bag
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B110d,Padat,T,Tidak Spesifik,2,IBC Tank
A102d,Padat,C,Tidak Spesifik,1,Kemasan Karton atau plastik
B105d,Cair,T,Tidak Spesifik,2,Drum Logam
A338-1,Cair,T,Spesifik Umum,1,Drum Logam
A337-1,Cair,T,Spesifik Umum,1,Jumbo Bag
A108d,Padat,T,Tidak Spesifik,1,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,IBC Tank
B322-3,Padat,T,Spesifik Umum,2,Jumbo Bag
A305-1,Cair,T,Spesifik Umum,1,Drum Logam
A347-2,Padat,T,Spesifik Umum,1,R.O Container
B106d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B328-4,Padat,T,Spesifik Umum,2,Tanpa Kemasan
A335-2,Cair,T,Spesifik Umum,1,Tanpa Kemasan
A335-2,Cair,T,Spesifik Umum,1,Tangki
A109d,Cair,T,Tidak Spesifik,1,IBC Tank
B110d,Padat,T,Tidak Spesifik,2,Drum Logam
B107d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A108d,Padat,T,Tidak Spesifik,1,Drum Logam
A325-2,Cair,T,Spesifik Umum,1,Drum Logam
B110d,Padat,T,Tidak Spesifik,2,Wheel Bin
B109d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
A108d,Padat,T,Tidak Spesifik,1,Tanpa Kemasan
A337-1,Cair,T,Spesifik Umum,1,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B110d,Padat,T,Tidak Spesifik,2,Drum Logam
A111d,Padat,T,Tidak Spesifik,1,Tanpa Kemasan
B107d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
B321-4,Padat,T,Spesifik Umum,2,Kemasan Karton atau plastik
B104d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
B107d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A325-1,Cair,I,Spesifik Umum,1,Drum Logam
A337-1,Cair,X,Spesifik Umum,1,Kemasan Karton atau plastik
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A108d,Padat,T,Tidak Spesifik,1,Drum Logam
B107d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
A102d,Padat,C,Tidak Spesifik,1,Kemasan Karton atau plastik
A352-2,Cair,T,Spesifik Umum,1,Kemasan Karton atau plastik
B106d,Padat,T,Tidak Spesifik,2,Box Besi
A338-1,Cair,T,Spesifik Umum,1,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
B104d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B321-5,Cair,I,Spesifik Umum,2,Kemasan Karton atau plastik
A102d,Padat,C,Tidak Spesifik,1,Kemasan Karton atau plastik
A338-1,Cair,C,Spesifik Umum,1,Drum Plastik
A338-1,Cair,T,Spesifik Umum,1,Kemasan Karton atau plastik
A108d,Padat,T,Tidak Spesifik,1,Drum Plastik
B323-2,Cair,T,Spesifik Umum,2,Drum Logam
A325-2,Cair,T,Spesifik Umum,1,Tanpa Kemasan
A345-1,Cair,T,Spesifik Umum,1,Tanpa Kemasan
A347-2,Padat,X,Spesifik Umum,1,Drum Logam
A347-1,Padat,T,Spesifik Umum,1,Drum Logam
A108d,Padat,T,Tidak Spesifik,1,Drum Logam
